Booking ID,Customer Name,Age Group,City,Package Type,Booking Date,Travel Date,Destination,No of Travellers,Package Cost,Discount Applied,Final Revenue,Payment Mode,Agent Name,Branch City,Season,Customer Rating (1-5)
BK0001,Customer_001,26-35,Delhi,Flight,2024-03-12,2024-02-22,Maldives,6,41048,4012,37036,Cash,Ravi Kumar,Delhi,Off-Peak,1.1
BK0002,Customer_002,60+,Delhi,Flight,2024-01-14,2024-10-14,Manali,6,35495,8279,27216,Cash,Sunita Rao,Delhi,Peak,2.8
BK0003,Customer_003,46-60,Bengaluru,Flight,2024-06-23,2024-05-22,Rajasthan,2,25926,5719,20207,UPI,Ravi Kumar,Bengaluru,Peak,2.5
BK0004,Customer_004,46-60,Hyderabad,Hotel,2024-10-01,2024-03-04,Ooty,1,39671,711,38960,Cash,Arjun Mehta,Hyderabad,Off-Peak,3.3
BK0005,Customer_005,18-25,Delhi,Flight,2024-04-29,2024-02-21,Ooty,3,34871,4741,30130,Net Banking,Deepa Nair,Delhi,Off-Peak,1.7
BK0006,Customer_006,18-25,Hyderabad,Flight,2024-11-07,2024-11-21,Rajasthan,5,39993,11498,28495,Debit Card,Priya S,Hyderabad,Off-Peak,2.5
BK0007,Customer_007,18-25,Kolkata,Combo,2024-04-27,2024-01-17,Leh,4,47504,13809,33695,UPI,Ravi Kumar,Kolkata,Peak,4.7
BK0008,Customer_008,46-60,Hyderabad,Flight,2024-03-14,2024-05-15,Rajasthan,2,70435,12964,57471,Cash,Kiran Das,Hyderabad,Off-Peak,4
BK0009,Customer_009,26-35,Pune,Combo,2024-03-11,2024-09-17,Shimla,1,57350,11861,45489,Credit Card,Ravi Kumar,Pune,Peak,3.5
BK0010,Customer_010,46-60,Pune,Combo,2024-11-01,2024-08-27,Dubai,3,13326,1576,11750,Cash,Ravi Kumar,Pune,Peak,3.7
BK0011,Customer_011,36-45,Bengaluru,Combo,2024-08-10,2024-03-21,Shimla,1,49587,1827,47760,UPI,Kiran Das,Bengaluru,Peak,3
BK0012,Customer_012,60+,Delhi,Combo,2024-11-07,2024-04-11,Rajasthan,3,44117,10468,33649,Debit Card,Kiran Das,Delhi,Peak,3.4
BK0013,Customer_013,36-45,Ahmedabad,Flight,2024-05-02,2024-01-30,Manali,5,19662,2973,16689,Credit Card,Ravi Kumar,Ahmedabad,Off-Peak,4.3
BK0014,Customer_014,26-35,Chennai,Flight,2024-05-15,2024-09-27,Singapore,4,67296,18015,49281,Debit Card,Kiran Das,Chennai,Peak,3.9
BK0015,Customer_015,60+,Pune,Combo,2024-08-19,2024-03-02,Manali,2,53944,7177,46767,Credit Card,Arjun Mehta,Pune,Peak,3.4
